LUMPLFLN60XW,60,Water,1
LUMFLN60XW,60,Water,1.1
LUMPLFL100XW,100,Water,1
XLFLUOR2X/340,2,Air,0.14
XLFLUOR4X/340,4,Air,0.28
PLAPON60XOTIRFM-SP,60,Normal oil,1.45
APON60XOTIRF,60,Normal oil,1.49
APON60XOTIRFM-SP,60,Normal oil,1.49
UAPON100XOTIRF,100,Normal oil,1.49
UAPON150XOTIRF,150,Normal oil,1.45
UAPO150XOTIRFM-SP,150,Normal oil,1.45
IV-OB13F67W20,6,Water,0.14
IV-OB13F20W20,20,Water,0.5
IV-OB35F22W20,27,Water,0.7
MPLAPO20X,20,Air,0.6
MPLAPON50X,50,Air,0.95
MPLAPON60X,60,Air,0.9
MPLAPO60X,60,Air,0.9
MPLAPON100X,100,Air,0.95
MPLAPON100XO,100,Normal oil,1.4
MPLFLN5X,5,Air,0.15
MPLFLN10X,10,Air,0.3
MPLFLN20X,20,Air,0.45
MPLFLN40X,40,Air,0.75
MPLFLN50X,50,Air,0.8
MPLFLN100X,100,Air,0.9
MPLFLN5XBD,5,Air,0.15
MPLFLN10XBD,10,Air,0.3
MPLFLN20XBD,20,Air,0.45
MPLFLN50XBD,50,Air,0.8
MPLFLN100XBD,100,Air,0.9
MPLFLN150XBD,150,Air,0.9
MPLFLN5XBDP,5,Air,0.15
MPLFLN10XBDP,10,Air,0.25
MPLFLN20XBDP,20,Air,0.4
MPLFLN50XBDP,50,Air,0.75
MPLFLN100XBDP,100,Air,0.9
LMPLFLN5X,5,Air,0.13
LMPLFLN10X,10,Air,0.25
LMPLFLN20X,20,Air,0.4
LMPLFLN50X,50,Air,0.5
LMPLFLN100X,100,Air,0.8
LMPLFLN5XBD,5,Air,0.13
LMPLFLN10XBD,10,Air,0.25
LMPLFLN20XBD,20,Air,0.4
LMPLFLN50XBD,50,Air,0.5
LMPLFLN100XBD,100,Air,0.8
SLMPLN20X,20,Air,0.25
SLMPLN50X,50,Air,0.35
SLMPLN100X,100,Air,0.6
LCPLFLN20XLCD,20,Air,0.45
LCPLFLN50XLCD,50,Air,0.7
LCPLFLN100XLCD,100,Air,0.85
LMPLN5XIR,5,Air,0.1
LMPLN10XIR,10,Air,0.3
LCPLN20XIR,20,Air,0.45
LCPLN50XIR,50,Air,0.65
LCPLN100XIR,100,Air,0.85
MPLN5X-1-7,5,Air,0.1
MPLN10X-1-7,10,Air,0.25
MPLN20X-1-7,20,Air,0.4
MPLN50X-1-7,50,Air,0.75
MPLN100X-1-7,100,Air,0.9
MPLN5XBD,5,Air,0.1
MPLN10XBD,10,Air,0.25
MPLN20XBD,20,Air,0.4
MPLN50XBD,50,Air,0.75
MPLN100XBD,100,Air,0.9
MM6-OB1X,1,Air,0.03
MM6-OB3X,3,Air,0.09
MM6-OB3X-2,3,Air,0.09
MM6-OB5X,5,Air,0.13
MM6-OB10X,10,Air,0.2
UPLFLN4XIPC,4,Air,0.13
CACHN10XIPC,10,Air,0.25
LCACHN20XIPC,20,Air,0.4
LCACHN40XIPC,40,Air,0.55
